Entity A Type,Entity A,Entity B Type,Entity B,Connection,Source(s)
Person,DONALD J. TRUMP,Organization,DT DUBAI GOLF MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT DUBAI II GOLF MANAGER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT DUBAI II GOLF MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT ENDEAVOR I LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT ENDEAVOR I MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT HOME MARKS INTERNATIONAL LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT HOME MARKS INTERNATIONAL MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT INDIA VENTURE LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT INDIA VENTURE MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT JEDDAH TECHNICAL SERVICES ADVISOR LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT JEDDAH TECHNICAL SERVICES ADVISOR MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT JEDDAH TECHNICAL SERVICES MANAGER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT JEDDAH TECHNICAL SERVICES MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO GOLF MANAGER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO GOLF MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO HOTEL MANAGER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO HOTEL MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO TECHNICAL SERVICES MANAGER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT LIDO TECHNICAL SERVICES MANAGER MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS BAKU LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS BAKU MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS BALI LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS BALI MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS DUBAI II LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS DUBAI II MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS DUBAI LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS DUBAI MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS GURGAON LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS GURGAON MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS JERSEY CITY LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS JUPITER LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS LIDO LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS LIDO MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PRODUCTS INTERNATIONAL LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PRODUCTS INTERNATIONAL MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PUNE II LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PUNE II MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PUNE LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS PUNE MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS QATAR LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS QATAR MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS RIO LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS RIO MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS VANCOUVER LP,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS VANCOUVER MANAGER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS WORLI LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT MARKS WORLI MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER GURGAON LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER GURGAON MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER I LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER I MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER II LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER II MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER KOLKATA LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT TOWER KOLKATA MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT VENTURE I LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT VENTURE I MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT VENTURE II LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DT VENTURE II MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DTTM OPERATIONS LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DTTM OPERATIONS MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DTW VENTURE LLC,Member (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,DTW VENTURE MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,EDWIN FEULNER,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Person,DONALD J. TRUMP,Person,EDWIN MEESE,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Person,DONALD J. TRUMP,Organization,EID VENTURE I CORPORATION,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,EID VENTURE I LLC,Member (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,EID VENTURE II LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,EID VENTURE II MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,ELAINE CHAO,Secretary of Transportation,General knowledge
Person,DONALD J. TRUMP,Person,ELENA GORLOVA,Gorlova bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
Person,DONALD J. TRUMP,Person,ELON MUSK,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Person,DONALD J. TRUMP,Person,EMIN AGALAROV,"The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html | https://www.youtube.com/watch?v=iuZUNjFsgS8
Person,DONALD J. TRUMP,Person,ERIC TRUMP,Parent/child,General knowledge
Person,DONALD J. TRUMP,Person,ERIC UELAND,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
Person,DONALD J. TRUMP,Organization,EXCEL VENTURE I CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,EXCEL VENTURE I LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
Person,DONALD J. TRUMP,Organization,FIFTY SEVENTH STREET ASSOCIATES LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,FIFTY-SEVEN MANAGEMENT CORP.,Chairman (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"FIRST MEMBER, INC.",President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,FLIGHTS INC.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,FLORIDA PROPERTIES MANAGEMENT LLC,Member (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,FONTAINBLEU APARTMENTS LLC,Member (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"FRED C. TRUMP, GRAT TRUST- F/B/O ELIZABETH TRUMP GRAU",Trustee (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,GARY COHN,Director United States National Economic Council,General knowledge
Person,DONALD J. TRUMP,Person,GEORGE E. NORCROSS III,"""whose friendship with Mr. Trump dates to the president’s Atlantic City years,"" per the New York Times",https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html?_r=0
Person,DONALD J. TRUMP,Person,GEORGE GIGICOS,Director of advance,https://www.documentcloud.org/documents/3534048-Gigicos-George.html
Person,DONALD J. TRUMP,Person,GERRIT LANSING,Former Chief Digital Officer,https://www.documentcloud.org/documents/3534042-Lansing-Gerrit.html | http://www.politico.com/blogs/donald-trump-administration/2017/02/gerrit-lansing-trump-digital-chief-ousted-235268
Person,DONALD J. TRUMP,Person,GINNI ROMETTY,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Person,DONALD J. TRUMP,Organization,GOLF PRODUCTIONS LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,GOLF PRODUCTIONS MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,GOLF RECREATION SCOTLAND LIMITED,Director (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,HELEN FERRE,Director media affairs,https://www.documentcloud.org/documents/3534068-Ferre-Helen.html
Person,DONALD J. TRUMP,Organization,"HELICOPTER AIR SERVICES, INC.",President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HIGHLANDER HALL, INC.",President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,HOPE HICKS,"Director of Strategic Communications, White House",https://www.documentcloud.org/documents/3534459-Hicks-Hope.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES I, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES II, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES III, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES IV, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES V, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"HUDSON WATERFRONT ASSOCIATES, L.P.",Partner (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,IDENTITY THEFT PRODUCTIONS LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,IDENTITY THEFT PRODUCTIONS MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,IKE PERLMUTTER,"Perlmutter ""has been informally advising Mr. Trump on veterans issues,"" per the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Person,DONALD J. TRUMP,Organization,INDIAN HILLS HOLDINGS LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,INDRA NOOYI,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Person,DONALD J. TRUMP,Person,IVANKA TRUMP,Parent/child,General knowledge
Person,DONALD J. TRUMP,Person,JAMES MATTIS,Secretary of Defense,General knowledge
Person,DONALD J. TRUMP,Person,JAMES SCHULTZ,Senior associate counsel,https://www.documentcloud.org/documents/3534346-Shultz-James.html
Person,DONALD J. TRUMP,Person,JAMES SHERK,White House Domestic Policy Council labor and employment advisor,https://www.bna.com/trumps-new-labor-n57982084346/
Person,DONALD J. TRUMP,Person,JAMIE DIMON,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Person,DONALD J. TRUMP,Person,JARED KUSHNER,Senior adviser,https://www.washingtonpost.com/news/post-politics/wp/2017/01/09/tumps-son-in-law-jared-kushner-expected-to-join-white-house-as-a-senior-adviser/?utm_term=.a3958e1d3829
Person,DONALD J. TRUMP,Person,JARROD P. AGEN,Deputy assistant,https://www.documentcloud.org/documents/3534451-Agen-Jarrod.html
Person,DONALD J. TRUMP,Person,JASON D. GREENBLATT,Special Representative for International Negotiations,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
Person,DONALD J. TRUMP,Person,JASON D. MEISTER,"Worked on Trump's NY campaign, goes on Fox News as a Trump surrogate",https://therealdeal.com/issues_articles/whos-jumping-ship/ | http://www.jasondmeister.com/media/
Person,DONALD J. TRUMP,Person,JEFF SESSIONS,Attorney General,General knowledge
Person,DONALD J. TRUMP,Person,JENNIFER KORN,Deputy director,https://www.documentcloud.org/documents/3534039-Korn-Jennifer.html
Person,DONALD J. TRUMP,Person,JEREMY KATZ,Deputy director of the National Economic Council,https://www.documentcloud.org/documents/3534036-Katz-Jeremy.html
Person,DONALD J. TRUMP,Person,JESSICA DITTO,Deputy communications director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,JOE HAGIN,Deputy chief of staff for operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,JOHN DESTEFANO,Director of presidential personnel,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,JOHN EISENBERG,Deputy assistant,https://www.whitehouse.gov/the-press-office/2017/02/02/white-house-national-security-advisor-announces-nsc-senior-staff-0
Person,DONALD J. TRUMP,Person,JOHN F. KELLY,Secretary of Department of Homeland Security,General knowledge
Person,DONALD J. TRUMP,Person,JOHN GRAY,Part of OMB transition team,http://thehill.com/policy/finance/314991-trump-team-prepares-dramatic-cuts
Person,DONALD J. TRUMP,Person,JOHN MCENTEE,Personal aide to the President,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,JOSEPH HAGIN,Deputy chief of staff,https://www.documentcloud.org/documents/3534458-Hagin-Joseph.html
Person,DONALD J. TRUMP,Person,JOSEPH KELLOGG,"Chief of staff and executive secretary, National Security Council",https://www.documentcloud.org/documents/3534037-Kellogg-Joseph-K.html
Person,DONALD J. TRUMP,Person,JOSEPH LAI,Special assistant,https://www.documentcloud.org/documents/3534041-Lai-Joseph.html
Person,DONALD J. TRUMP,Person,JOYCE MEYER,Deputy assistant,https://www.documentcloud.org/documents/3534156-Meyer-Joyce-Y.html
Person,DONALD J. TRUMP,Person,JULIA HAHN,Deputy political strategist,https://www.documentcloud.org/documents/3534111-Hahn-Julia.html
Person,DONALD J. TRUMP,Organization,JUPITER GOLF CLUB LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,JUPITER GOLF CLUB MANAGING MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,JUSTIN CLARK,Director of inter-governmental affairs,https://www.documentcloud.org/documents/3534079-Clark-Justin.html
Person,DONALD J. TRUMP,Person,KALPESH MEHTA,"""exclusive representative of Trump's businesses in India,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Person,DONALD J. TRUMP,Organization,"KASOWITZ, BENSON, TORRES & FRIEDMAN LLP","""Kasowitz Benson has been a longtime legal adviser to Trump, advising him on numerous engagements,"" per Am Law Daily",http://www.americanlawyer.com/top-stories/id=1202769047259/Trump-Taps-Kasowitz-Amid-Times-Tax-Drama?mcode=1202615731542&curindex=2&slreturn=20170206132813
Person,DONALD J. TRUMP,Person,KATHLEEN TROIA MCFARLAND,Deputy National Security Advisor,General knowledge
Person,DONALD J. TRUMP,Person,KATHRYN TALENTO,Special advisor,https://www.documentcloud.org/documents/3534341-Talento-Kathryn.html
Person,DONALD J. TRUMP,Person,KEITH SCHILLER,Director of Oval Office operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,KELLYANNE CONWAY,White House Counselor,General knowledge
Person,DONALD J. TRUMP,Organization,LAMINGTON FAMILY HOLDINGS LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,LAWRENCE TOWERS APARTMENTS LLC,Member (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,LFB ACQUISITION LLC,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,LFB ACQUISITION MEMBER CORP.,President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,LINDA BEAN,Donor,http://www.nbcnews.com/business/business-news/l-l-bean-embroiled-spat-over-donation-trump-campaign-n706236
Person,DONALD J. TRUMP,Person,LINDA MCMAHON,Administrator of the Small Business Administration,General knowledge
Person,DONALD J. TRUMP,Person,LINDSAY WALTERS,White House spokeswoman,https://www.bloomberg.com/politics/articles/2017-02-03/trump-trade-pick-could-negotiate-for-industry-of-biggest-client
Person,DONALD J. TRUMP,Organization,LODHA GROUP,Business partner,http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
Person,DONALD J. TRUMP,Person,MADELEINE WESTERHOUT,Executive assistant,https://www.documentcloud.org/documents/3534343-Westerhout-Madeleine.html
Person,DONALD J. TRUMP,Person,MANGAL PRABHAT LODHA,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
Person,DONALD J. TRUMP,Organization,"MAR-A-LAGO CLUB, INC",President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Organization,"MAR-A-LAGO CLUB, LLC",President (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
Person,DONALD J. TRUMP,Person,MARC E. KASOWITZ,"Has represented ""President Donald J. Trump in a wide range of litigation matters for over 15 years,"" per bio",http://www.kasowitz.com/marc-e-kasowitz/
Person,DONALD J. TRUMP,Person,MARC LOTTER,Special assistant,https://www.documentcloud.org/documents/3535104-Lotter-Marc.html
Person,DONALD J. TRUMP,Person,MARC SHORT,Director of legislative affairs,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Person,DONALD J. TRUMP,Person,MARY T. BARRA,Member of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Person,DONALD J. TRUMP,Person,MARYANNE TRUMP BARRY,Siblings,General knowledge
Person,DONALD J. TRUMP,Organization,MARYANNE TRUMP GRAT TRUST- F/B/O ELIZABETH TRUMP GRAU,Trustee (as of 2016 FEC filing),https://www.documentcloud.org/documents/2838696-Trump-2016-Financial-Disclosure.html
